CHILDRENS	Children's Books - Lower Level
MAIN	Main Collection - Lower Level
OVERSIZED	Oversized - Lower Level
SMAIN	Book - Storage
SOVERSIZED	Oversized - Storage
AUDIOBOOK	Audio Books - Lower Level
SAUDIOBOOK	Audio Books - Storage
ARCHIVES	Archives
CALCULATOR	Calculators - Front Desk
CINEMADVD	Cinema Faculty DVDs - Front Desk
CRS	Course Reserves - Front Desk
DIALECT	Dialects & Languages - Front Desk
DISPLAYCASE	Display Case
DVD	DVDs - Lower Level
HDMI	HDMI Cords - Front Desk
HEADPHONE	Headphones - Front Desk
ILL	ILL
LAPTOP	Laptops - Front Desk
LIBRETTO	Libretto - Lower Level
MEDIASERV	Media Services
MICROFILM	Microfilm - Storage
MONOLOGUE	Monologues - Lower Level
MUSIC	Music Collection - Lower Level
NEWBOOK	New Books - Lower Level
PERIODICALS	Journal - Lower Level
PEZB	Point Park University Library
PLAY	Plays - Lower Level
POP	Popular Fiction - Lower Level
PORTCHRG	Portable Chargers - Front Desk
REF	Reference - Front Desk
ROOM	Presentation Room - Lower Level
SCINEMADVD	Cinema Faculty Use Only DVDs - Storage
SDVD	DVDs - Storage
SPERIODICALS	Journal - Storage
SPLAY	Plays - Storage
STHESIS	Thesis - Storage
STUDYGUIDE	Study Guides - Front Desk
TECHSERV	Tech Services
TEXTBOOK	Textbooks - Front Desk
VIDEOGAMES	Video Games - Lower Level